formula,gfa
Ag20Al25La55,1
Ag15Al10Mg75,1
Ag25Al10Mg65,1
Ag25Al20Mg55,1
Ag35Al10Mg55,1
Ag35Al20Mg45,1
Ag45Al20Mg35,1
Ag10Ce6Cu84,1
Ag10Ce10Cu80,1
Ag15Ce6Cu79,1
Ag20Ce6Cu74,1
Ag20Ce10Cu70,1
Ag25Ce6Cu69,1
Ag30Ce6Cu64,1
Ag30Ce10Cu60,1
Ag35Ce4Cu61,1
Ag35Ce5Cu60,1
Ag35Ce6Cu59,1
Ag40Ce3Cu57,1
Ag40Ce4Cu56,1
Ag40Ce5Cu55,1
Ag40Ce8Cu52,1
Ag40Ce10Cu50,1
Ag45Ce3Cu52,1
Ag45Ce4Cu51,1
Ag45Ce5Cu50,1
Ag50Ce3Cu47,1
Ag50Ce4Cu46,1
Ag50Ce5Cu45,1
Ag50Ce10Cu40,1
Ag55Ce5Cu40,1
Ag55Ce6Cu39,1
Ag55Ce8Cu37,1
Ag6Ce8Cu86,0
Ag20Ce5Cu75,0
Ag30Ce5Cu65,0
Ag35Ce3Cu62,0
Ag45Ce2Cu53,0
Ag50Ce2Cu48,0
Ag60Ce5Cu35,0
Ag60Ce10Cu30,0
Ag5Ce5Cu90,0
Ag5Ce6Cu89,0
Ag5Ce8Cu87,0
Ag10Ce3Cu87,0
Ag10Ce5Cu85,0
Ag10Ce6Cu84,0
Ag15Ce4Cu81,0
Ag20Ce3Cu77,0
Ag20Ce4Cu76,0
Ag30Ce3Cu67,0
Ag40Ce1Cu59,0
Ag40Ce2Cu58,0
Ag60Ce3Cu37,0
Ag70Ce5Cu25,0
Ag70Ce10Cu20,0
Ag37.5Cu37.5Ge25,1
Ag38.75Cu38.75Ge22.5,1
Ag40Cu40Ge20,1
Ag35Cu35Mg30,1
Ag7.1Cu85.2P7.7,1
Ag7.5Cu85.5P7,1
Ag8.9Cu83.5P7.6,1
Ag9Cu82.8P8.2,1
Ag9Cu84P7,1
Ag10.5Cu81.5P8,1
Ag10.5Cu81.9P7.6,1
Ag10.5Cu82.5P7,1
Ag12.2Cu80.3P7.5,1
Ag12.2Cu80.8P7,1
Ag7Cu84.5P8.5,0
Ag7.5Cu86P6.5,0
Ag9Cu84.5P6.5,0
Ag10.5Cu80.5P9,0
Ag12.2Cu81.5P6.3,0
Ag14Cu78.5P7.5,0
Ag5.5Cu87P7.5,0
Ag9Cu82.5P8.5,0
Ag9Cu85P6,0
Ag0Mg84Y16,1
Ag5Mg80Y15,1
Ag10Mg60Y30,1
Ag10Mg70Y20,1
Ag10Mg80Y10,1
Ag15Mg80Y5,1
Ag20Mg30Y50,1
Ag20Mg40Y40,1
Ag20Mg50Y30,1
Ag20Mg60Y20,1
Ag20Mg70Y10,1
Ag25Mg60Y15,1
Ag25Mg65Y10,1
Ag25Mg70Y5,1
Ag30Mg30Y40,1
Ag30Mg40Y30,1
Ag30Mg50Y20,1
Ag30Mg55Y15,1
Ag30Mg60Y10,1
Ag40Mg30Y30,1
Ag40Mg40Y20,1
Ag40Mg50Y10,1
Ag50Mg30Y20,1
Ag0Mg80Y20,0
Ag0Mg87.5Y12.5,0
Ag5Mg85Y10,0
Ag10Mg50Y40,0
Ag10Mg85Y5,0
Ag20Mg20Y60,0
Ag50Mg20Y30,0
Ag60Mg20Y20,0
Ag0Mg75Y25,0
Ag0Mg90Y10,0
