SiO2,P2O5,ZrO2,Na2O,Al2O3,Fe2O3,CaO,MgO,K2O,B2O3,BaO,ZnO,Li2O,SrO,La2O3,TiO2,Nb2O5,PbO,Sb2O3,Bi2O3,TeO2,Se,Tg,density
0.6,0.0,0.0,0.0,0.16,0.0,0.08,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.15,2.492000102996826
0.6,0.0,0.0,0.032,0.16,0.0,0.08,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.15,2.499000072479248
0.6,0.0,0.0,0.064,0.16,0.0,0.08,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.15,2.509999990463257
0.6,0.0,0.0,0.096,0.16,0.0,0.08,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.15,2.513000011444092
0.6,0.0,0.0,0.16,0.16,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.15,2.5169999599456787
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,733.15,3.79800009727478
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,708.15,3.575000047683716
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,693.15,3.252000093460083
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,708.15,2.936000108718872
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,723.15,2.5929999351501465
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.15,2.367000102996826
0.695,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,693.15,3.5239999294281006
0.695,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,683.15,3.2750000953674316
0.695,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,663.15,2.950000047683716
0.695,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,683.15,2.6489999294281006
0.695,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.15,2.4769999980926514
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,718.15,3.4489998817443848
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,728.15,3.194999933242798
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,738.15,2.943000078201294
0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,753.15,2.621000051498413
0.4965496549654966,0.0,0.0,0.0,0.041004100410041,0.0,0.025002500250025,0.0,0.0,0.2222222222222222,0.2002200220022002,0.015001500150015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.15,3.242000102996826
0.4965,0.0,0.0,0.0,0.0409999999999999,0.0,0.025,0.0,0.0,0.2221999999999999,0.1502,0.015,0.0501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.15,3.065999984741211
0.4965496549654964,0.0,0.0,0.0,0.0410041004100409,0.0,0.025002500250025,0.0,0.0,0.2222222222222221,0.1001100110011001,0.015001500150015,0.1001100110011001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.15,2.861000061035156
0.4965,0.0,0.0,0.0,0.0409999999999999,0.0,0.025,0.0,0.0,0.2221999999999999,0.0501,0.015,0.1502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.15,2.6470000743865967
0.4965496549654966,0.0,0.0,0.0,0.041004100410041,0.0,0.025002500250025,0.0,0.0,0.2222222222222222,0.0,0.015001500150015,0.2002200220022002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.15,2.4539999961853027
0.4965,0.0,0.0,0.0501,0.041,0.0,0.025,0.0,0.0,0.2222,0.1502,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.15,3.068000078201294
0.4965496549654966,0.0,0.0,0.1001100110011001,0.041004100410041,0.0,0.025002500250025,0.0,0.0,0.2222222222222222,0.1001100110011001,0.015001500150015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.15,2.882999897003174
